"","FID","GEOID","ALAND"
"1",0,"060530111013",1399858
"2",0,"060530111022",1451663
"3",0,"060971513084",271694
"4",0,"060510001022",433209402
"5",0,"060971513092",2306909
"6",0,"060971513093",3978136
"7",0,"060971513101",208340
"8",0,"060971513102",383385
"9",0,"060971513103",347602
"10",0,"060530112022",2472168
"11",0,"060530113021",1044221
"12",0,"060971515025",304633
"13",0,"060971515026",1091437
"14",0,"060014423023",346115
"15",0,"061110075065",469020
"16",0,"060133032011",1278156
"17",0,"060133031032",1468742
"18",0,"060133551102",1131864
"19",0,"060971530032",408868
"20",0,"060971530033",544547
"21",0,"060971530034",525465
"22",0,"060971530054",423312
"23",0,"060650301042",858394
"24",0,"060650315015",233796
"25",0,"061110075122",925075
"26",0,"061110022003",1785103
"27",0,"061110023004",649314
"28",0,"061110029012",471973
"29",0,"060133212003",387133
"30",0,"060133800002",2298583
"31",0,"060371872002",543859
"32",0,"060371873001",708405
"33",0,"060371873002",460439
"34",0,"060133511023",772179
"35",0,"060133452041",4416737
"36",0,"060133400012",766734
"37",0,"060375437024",272187
"38",0,"060375437025",211461
"39",0,"060375437031",1036654
"40",0,"060372043002",186945
"41",0,"060372043003",194868
"42",0,"060372043004",114173
"43",0,"060372044101",197865
"44",0,"060372044102",99012
"45",0,"060372046001",309004
"46",0,"060372046002",255172
"47",0,"061110059081",1045774
"48",0,"060971530055",520135
"49",0,"060971530056",304380
"50",0,"060971530061",281391
"51",0,"060971530062",623869
"52",0,"060971530063",1207379
"53",0,"060971534034",527095
"54",0,"061110076111",710728
"55",0,"060855094011",231802
"56",0,"061110029051",18747934
"57",0,"061110030131",700950
"58",0,"061110036091",1289535
"59",0,"061110038011",292849
"60",0,"061110036092",898341
"61",0,"060650425161",648929
"62",0,"060650418052",882907
"63",0,"060650425102",318118
"64",0,"060650420071",82132867
"65",0,"060650464021",1029996
"66",0,"060650427202",19197582
"67",0,"060650420042",3445037
"68",0,"060650422102",653681
"69",0,"060650308003",511234
"70",0,"060650406041",1096342
"71",0,"060650427191",16493135
"72",0,"060372093002",154865
"73",0,"060372094022",70037
"74",0,"060372095102",93792
"75",0,"060372095201",140321
"76",0,"060372098102",70446
"77",0,"060372098201",90243
"78",0,"060372100101",125395
"79",0,"060372100102",190304
"80",0,"060375438011",1682694
"81",0,"060375438022",283246
"82",0,"060375438023",317020
"83",0,"060375438024",416657
"84",0,"061110047042",376971
"85",0,"060372011102",418979
"86",0,"060372011201",204314
"87",0,"060372011202",387020
"88",0,"060372011203",200834
"89",0,"060372012001",440870
"90",0,"060372013011",413141
"91",0,"060372086101",215934
"92",0,"060371374023",630299
"93",0,"061110053032",3097963
"94",0,"061110080022",1045051
"95",0,"060014420002",1224447
"96",0,"060014423022",220566
"97",0,"061110080043",306701
"98",0,"061110083032",659179
"99",0,"061110086001",473635
"100",0,"061110086004",186099
"101",0,"061110087001",711975
"102",0,"061110088001",811175
"103",0,"061110089001",268438
"104",0,"061110038012",652812
"105",0,"060650433042",37472504
"106",0,"060650456042",41977186
"107",0,"060650464012",9789865
"108",0,"060650303001",407074
"109",0,"061110043041",218589
"110",0,"061110043042",490096
"111",0,"060375517005",158937
"112",0,"060375518001",406976
"113",0,"060375518003",298294
"114",0,"060375518004",326476
"115",0,"060310004051",758309
"116",0,"060310004045",1409272
"117",0,"060310004044",1361629
"118",0,"060310004041",1305045
"119",0,"060133361012",271523
"120",0,"060952512002",447021
"121",0,"060952518021",2309199
"122",0,"060952519011",1989762
"123",0,"060952521032",1166516
"124",0,"060730170341",1918283
"125",0,"060730170142",805205
"126",0,"060730171042",447918
"127",0,"060730185042",2351204
"128",0,"060971515041",459015
"129",0,"060971515042",547233
"130",0,"060971515043",549488
"131",0,"060971517004",824987
"132",0,"060971517005",609011
"133",0,"060971525021",952253
"134",0,"060372013012",453046
"135",0,"061110051001",65733603
"136",0,"060971525022",627637
"137",0,"060372047001",340963
"138",0,"060372047002",391225
"139",0,"060372047003",278877
"140",0,"060372048101",234269
"141",0,"060372048102",216376
"142",0,"060372048103",319059
"143",0,"060372048201",124400
"144",0,"061110050021",8149558
"145",0,"061110052031",1259452
"146",0,"061110052032",1010797
"147",0,"061110052033",450957
"148",0,"060133362021",350091
"149",0,"061110091002",1297218
"150",0,"061110091001",799878
"151",0,"061110091004",349669
"152",0,"061119800001",58634145
"153",0,"060372048202",195744
"154",0,"061110059091",599570
"155",0,"061110059092",736132
"156",0,"061110059112",1222457
"157",0,"061110060001",1211188
"158",0,"060855094044",444281
"159",0,"060855123102",2721516
"160",0,"060855009022",120466
"161",0,"060855045043",388220
"162",0,"060133390024",346712
"163",0,"060375516001",912887
"164",0,"060375517001",533354
"165",0,"060372100103",93275
"166",0,"060372110001",344228
"167",0,"060372110002",387511
"168",0,"060372110003",739935
"169",0,"060372110004",578986
"170",0,"060372110006",283587
"171",0,"060372111201",80033
"172",0,"060372111202",424237
"173",0,"060375517002",276619
"174",0,"060730075012",100074
"175",0,"060952521033",682619
"176",0,"060552008031",2057937
"177",0,"060730091032",220316
"178",0,"060730097043",1145855
"179",0,"060730024021",208472
"180",0,"060730132032",162424
"181",0,"060730170153",2570136
"182",0,"060730174042",270930
"183",0,"060730185044",1886370
"184",0,"060730036011",897315
"185",0,"060730188011",7661445
"186",0,"060730193031",4095665
"187",0,"060730045011",164495
"188",0,"060730139081",311815
"189",0,"060730169014",3638557
"190",0,"060730032083",141850
"191",0,"060952519012",626303
"192",0,"060952518031",2252211
"193",0,"060952516002",615111
"194",0,"060952523062",1136627
"195",0,"060952519031",1352252
"196",0,"060952527021",1594608
"197",0,"060952520002",465420
"198",0,"060372013021",403304
"199",0,"060372013022",125242
"200",0,"060510001021",187253650
"201",0,"060510001011",2978150540
"202",0,"060372115002",273142
"203",0,"061110053043",1337111
"204",0,"060372113102",82721
"205",0,"060372113201",93963
"206",0,"060372114102",90224
"207",0,"060372114201",189335
"208",0,"060372114202",191740
"209",0,"060372115001",213982
"210",0,"060372115003",421913
"211",0,"060372117013",165410
"212",0,"060730101074",255363
"213",0,"061110042001",559030
"214",0,"061110053031",2769944
"215",0,"061110053041",1400476
"216",0,"061110053042",526092
"217",0,"060133072021",344050
"218",0,"061110030121",801272
"219",0,"061110026002",864224
"220",0,"061110053052",10700465
"221",0,"061110060002",1209534
"222",0,"061110060003",901352
"223",0,"061110061001",3081656
"224",0,"061110062001",5284520
"225",0,"061110062002",990672
"226",0,"060170307091",12677836
"227",0,"060375519001",343472
"228",0,"060375519002",134354
"229",0,"060375519003",458758
"230",0,"060375519004",185566
"231",0,"060375519005",234644
"232",0,"060375519006",184227
"233",0,"060375521001",281787
"234",0,"060552008032",3044744
"235",0,"060552008021",343727
"236",0,"060552008022",5461318
"237",0,"060552008023",8040516
"238",0,"060372013023",151416
"239",0,"060133240011",287817
"240",0,"060133630004",1227830
"241",0,"060133511012",1222679
"242",0,"060952521062",963612
"243",0,"060952512001",415274
"244",0,"060952501032",887049
"245",0,"060952518041",274271
"246",0,"060855047001",6406664
"247",0,"060855042023",1014975
"248",0,"060730032122",805679
"249",0,"060730186111",12583972
"250",0,"060730139061",1565055
"251",0,"060730201033",12023905
"252",0,"060730191053",22347032
"253",0,"060730211001",347942787
"254",0,"060730032071",2005918
"255",0,"060730085072",122378
"256",0,"060730169011",33937812
"257",0,"060730137023",1034699
"258",0,"060730188012",4900787
"259",0,"060730167011",5190713
